"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3016501,"September 5, 2024",Minnesota,Minneapolis,"Portland Ave and E 15th St",1,0,0,0,0,N/A
3016364,"September 5, 2024","New York",Bronx,"1702 Belmont Ave",1,0,0,0,0,N/A
3016448,"September 5, 2024",Wisconsin,Milwaukee,"W Keefe Ave and N 50th St",0,1,0,0,0,N/A
3016440,"September 5, 2024",Louisiana,"La Place (LaPlace)","1 Wildcat Dr",0,0,0,0,1,N/A
3016430,"September 5, 2024",Wisconsin,Milwaukee,"N 91st St and W Custer Ave",0,3,0,1,1,N/A
3016408,"September 5, 2024","New York",Rochester,"Dove St and Birr St",0,1,0,0,0,N/A
3016428,"September 5, 2024",Oregon,"Lincoln City","1905 NW Jetty Ave",0,0,1,0,0,N/A
3016412,"September 5, 2024","New York",Troy,"Highland Ave and Brunswick Ave",0,1,0,0,0,N/A
3016368,"September 5, 2024","New York",Bronx,"Jennings St and Bryant Ave",0,2,0,0,0,N/A
3016386,"September 5, 2024","New York",Rochester,"800 block of N Clinton Ave",0,2,0,0,0,N/A
3016359,"September 5, 2024","South Carolina","North Charleston","3543 Dorchester Rd",1,0,0,0,0,N/A
3016333,"September 5, 2024",Georgia,Thomasville,"117 Glenwood Dr",0,0,0,0,1,N/A
3016229,"September 5, 2024",Pennsylvania,Philadelphia,"100 block of 2nd St",0,1,0,0,0,N/A
3016269,"September 5, 2024",California,Modesto,"2501 Oakdale Rd",0,1,0,0,0,N/A
3016232,"September 5, 2024",Georgia,Atlanta,"1181 Metropolitan Pkwy SW",0,1,0,0,0,N/A
3016226,"September 5, 2024",Georgia,Savannah,"2000 block of Nash St",0,1,0,0,0,N/A
3016215,"September 5, 2024",Indiana,"Daviess (county)",IN-257,0,0,1,0,0,N/A
3016174,"September 5, 2024",Pennsylvania,Allentown,"2000 block of E Cedar St",1,0,1,0,0,N/A
3016197,"September 5, 2024",Alabama,Birmingham,"1617 Fifth Ave N",2,0,0,0,0,N/A
3016191,"September 5, 2024",Ohio,Columbus,"1600 block of Audrey Rd",0,0,0,1,0,N/A
3016096,"September 5, 2024",Indiana,Bluffton,"200 block of W Washington St",0,1,1,0,0,N/A
3016047,"September 5, 2024",Indiana,Indianapolis,"8700 block of Calbert Ct",0,1,0,0,1,N/A
3015909,"September 5, 2024","New Jersey",Edison,"120 French St",0,1,0,0,0,N/A
3015742,"September 4, 2024","North Carolina",Durham,"5100 block of Revere Rd",0,1,0,0,0,N/A
3015630,"September 4, 2024",Ohio,Columbus,"3006 Noe Bixby Rd",0,1,0,0,1,N/A
3015618,"September 4, 2024",Illinois,Peoria,"S MacArthur Hwy and W Johnson St",1,1,0,0,0,N/A
3015485,"September 4, 2024",Mississippi,Jackson,"100 block of Cedars of Lebanon Rd",1,0,0,0,0,N/A
3015589,"September 4, 2024",Illinois,Chicago,"3993 S Martin Luther King Dr",1,0,0,0,0,N/A
3015581,"September 4, 2024","New York",Brooklyn,"537 Park Pl",0,2,0,0,0,N/A
3015578,"September 4, 2024",Mississippi,Laurel,"Willus Dr",0,1,0,0,0,N/A
3015569,"September 4, 2024","New York",Bronx,"2190 Folin St",0,1,0,0,0,N/A
3015543,"September 4, 2024",Wisconsin,Milwaukee,"5157 N 58th St",0,1,0,0,0,N/A
3016499,"September 4, 2024","North Carolina",Whiteville,"300 block of Madison St",0,1,0,0,0,N/A
3015451,"September 4, 2024",Indiana,"Fort Wayne","Oliver St and Mc Kee St",0,1,0,0,0,N/A
3014703,"September 4, 2024",Georgia,Winder,"940 Haymon Morris Rd",4,9,0,0,1,N/A
3016471,"September 4, 2024",California,"Los Angeles","1612 N Cahuenga Blvd",0,2,0,0,0,N/A
3015442,"September 4, 2024",Michigan,Laingsburg,"7835 E Price Rd",1,0,0,0,0,N/A
3016464,"September 4, 2024",California,"Los Angeles (East Los Angeles)","1300 block of S Fetterly Ave",1,0,0,0,0,N/A
3015776,"September 4, 2024",Indiana,Indianapolis,N/A,0,1,0,0,0,N/A
3015006,"September 4, 2024",Texas,Katy,"22157 Katy Fwy",0,1,0,0,1,N/A
3015601,"September 4, 2024","New York",Rochester,"Atkinson St and Van Auker St",0,2,0,0,0,N/A
3016403,"September 4, 2024","New York",Hancock,"2800 block of NY-268",0,1,0,0,1,N/A
3015280,"September 4, 2024",Alabama,Birmingham,"4700 block of 13th Ave N",0,0,0,1,0,N/A
3016389,"September 4, 2024","New York",Brooklyn,"Fulton St",1,0,0,0,0,N/A
3016371,"September 4, 2024",California,"San Francisco","2000 Mission St",1,0,0,0,2,N/A
3016366,"September 4, 2024",Oregon,Portland,"SW 3rd Ave and SW Ankeny St",1,0,0,0,0,N/A
3016353,"September 4, 2024",Oregon,Portland,"SE 127th Ave and SE Stark St",0,1,0,0,0,N/A
3016140,"September 4, 2024","South Carolina",Charleston,"3202 Coastal Grass Way",0,1,0,0,1,N/A
3015234,"September 4, 2024",Texas,"San Antonio","2300 Vance Jackson Rd",0,1,0,0,0,N/A
3016355,"September 4, 2024",Florida,Jacksonville,"Moncrief Rd and Edgewood Ave W",1,0,0,0,0,N/A
3015222,"September 4, 2024",Wisconsin,Milwaukee,"4350 N 21st St",0,1,0,0,0,N/A
3015209,"September 4, 2024",Texas,"San Antonio","6410 I-35",0,1,0,0,0,N/A
3015174,"September 4, 2024",Michigan,Detroit,"Dacosta St and Puritan Ave",0,1,0,0,0,N/A
3015608,"September 4, 2024",Illinois,Macomb,"300 block of N Normal St",0,2,0,0,0,N/A
3016330,"September 4, 2024",Nevada,"Carson City","3400 block of Champion Dr",0,1,0,0,1,N/A
3015969,"September 4, 2024",Illinois,Springfield,"1100 block of S. 18th St",0,0,0,1,0,N/A
3016327,"September 4, 2024",Florida,Tampa,"5300 block of 79th St N",0,1,0,0,0,N/A
3016296,"September 4, 2024","New Mexico","Santa Fe","3000 Cerrillos Rd",0,0,0,1,0,N/A
3016054,"September 4, 2024",Louisiana,"Baton Rouge","5151 Highland Rd",1,0,0,0,1,N/A
3016282,"September 4, 2024",Arizona,Tucson,"5445 S Alvernon Way",0,0,0,0,0,N/A
3016260,"September 4, 2024",Arizona,Glendale,"N 56th Ave and W Thunderbird Rd",0,0,1,0,0,N/A
3016267,"September 4, 2024",Pennsylvania,Reading,"1000 block of Oley St",1,0,0,0,0,N/A
3016220,"September 4, 2024",Pennsylvania,Philadelphia,"3200 block of D St",1,0,0,1,0,N/A
3016254,"September 4, 2024",Georgia,Lindale,"Davis St",0,1,0,0,1,N/A
3016145,"September 4, 2024",Georgia,Atlanta,"1870 Myrtle Dr SW",0,1,0,0,0,N/A
3015429,"September 4, 2024",Pennsylvania,Philadelphia,"N 62nd St and Vine St",0,1,0,0,0,N/A
3016222,"September 4, 2024",Georgia,Savannah,"1400 block of Fellwood Dr",0,2,0,0,0,N/A
3016203,"September 4, 2024",California,Ballico,"East Ave",0,1,0,0,0,N/A
3016194,"September 4, 2024","District of Columbia",Washington,"2500 block of Pennsylvania Ave SE",0,1,0,0,0,N/A
3015656,"September 4, 2024",Mississippi,Vicksburg,"2500 block of Warriors Trail",1,0,1,0,0,N/A
3016147,"September 4, 2024",Virginia,Fredericksburg,"100 block of Hulls Chapel Rd",1,0,0,0,1,N/A
3016160,"September 4, 2024",Virginia,Martinsville,"Lakewood Trl",0,1,0,0,0,N/A
3016150,"September 4, 2024",Texas,"Fort Worth","4700 block of Citylake Blvd",0,1,0,0,1,N/A
3016136,"September 4, 2024","North Carolina",Charlotte,"Wallace Ridge Dr and Stoney Garden Dr",0,1,0,0,0,N/A
3016124,"September 4, 2024",Texas,Waco,"1200 block of N 63rd St",0,1,0,0,0,N/A
3016102,"September 4, 2024",Texas,Carthage,"1110 FM 10",0,0,0,0,1,N/A
3015705,"September 4, 2024",Maryland,Baltimore,N/A,0,2,0,0,0,N/A
3014710,"September 4, 2024",Texas,Orange,"Granger Ln and FM 105",0,0,1,0,0,N/A
3015780,"September 4, 2024",Delaware,Wilmington,"3000 N Market St",0,1,0,0,0,N/A
3016091,"September 4, 2024",Delaware,Wilmington,"700 block of E 22nd St",0,1,0,0,0,N/A
3016089,"September 4, 2024",Texas,Schertz,"5570 FM 3009",0,1,0,0,0,N/A
3016069,"September 4, 2024",Texas,Houston,"7700 Main St",1,0,0,0,0,N/A
3016064,"September 4, 2024",Texas,Houston,"9430 Concourse Dr",1,0,0,0,0,N/A
3015473,"September 4, 2024",Indiana,"South Bend","401 S Michigan St",0,1,0,0,1,N/A
3016056,"September 4, 2024",Alabama,Cottonwood,"663 Houston St",0,0,0,0,1,N/A
3014646,"September 4, 2024",Illinois,Chicago,"700 block of N Laramie Ave",0,0,1,0,0,N/A
3015745,"September 4, 2024",Indiana,Indianapolis,"37 S Gray St",1,0,0,0,1,N/A
3016036,"September 4, 2024",Alabama,Birmingham,"500 block of 56th St S",0,1,0,0,1,N/A
3016034,"September 4, 2024",Texas,Houston,"1400 block of Cook St",1,0,0,0,0,N/A
3016031,"September 4, 2024",California,"Los Angeles","1612 N Cahuenga Blvd",0,2,0,0,0,N/A
3015438,"September 4, 2024",California,"Long Beach","CA-1 and Lime Ave",0,1,0,0,0,N/A
3016014,"September 4, 2024",Oklahoma,Sapulpa,"3 S Mission St",0,0,0,0,0,N/A
3016009,"September 4, 2024",Mississippi,Meridian,"606 16th St",0,1,0,0,0,N/A
3016011,"September 4, 2024",Oklahoma,Tulsa,"6636 S Mingo Rd",0,0,0,0,0,N/A
3016002,"September 4, 2024",Ohio,Columbus,"924 S Harris Ave",0,1,0,0,0,N/A
3015996,"September 4, 2024",Oklahoma,Edmond,"E 15th St and Bryant Ave",0,0,0,1,0,N/A
3015978,"September 4, 2024",Oklahoma,Lawton,"2808 NW 52nd St",0,1,0,0,0,N/A
3015964,"September 4, 2024",Texas,Houston,"4900 block of Winding View Ln",0,1,0,0,0,N/A
3015913,"September 4, 2024",Oregon,Portland,"SW 3rd Ave and SW Ankeny St",1,0,0,0,0,N/A
3015895,"September 4, 2024",Washington,"Oak Harbor","I-20 and Cornet Bay Rd",0,1,0,0,1,N/A
3015883,"September 4, 2024",Ohio,Toledo,"Cherry St and Cumberland Pl",0,1,0,0,1,N/A
3015878,"September 4, 2024",Tennessee,Memphis,"1665 Winchester Rd",1,0,0,0,0,N/A
3015859,"September 4, 2024",Tennessee,Memphis,"7072 Winchester Rd",0,1,0,0,1,N/A
3015857,"September 4, 2024",Louisiana,Shreveport,"Mertis Ave and Jackson St",0,1,0,0,0,N/A
3015855,"September 4, 2024",Kentucky,Louisville,"3800 block of River Park Dr",0,1,0,0,0,N/A
3015850,"September 4, 2024",Kentucky,Louisville,"6700 block of Strawberry Ln",0,1,0,0,1,N/A
3015835,"September 4, 2024",Illinois,Elgin,"1200 Maroon Dr",0,0,0,0,1,N/A
3015804,"September 4, 2024",Illinois,Chicago,"4800 block of W Lake St",0,1,0,0,0,N/A
3015795,"September 4, 2024",Minnesota,Minneapolis,"W Franklin Ave and Nicollet Ave",0,2,0,0,0,N/A
3015575,"September 4, 2024",Michigan,Detroit,"Runyon St and Park Grove St",1,1,0,0,0,N/A
3015764,"September 4, 2024",Iowa,Davenport,"3505 W Locust St",0,0,0,0,2,N/A
3015736,"September 4, 2024",Indiana,Indianapolis,"2200 block of E Washington St",0,1,0,0,0,N/A
3015740,"September 4, 2024",Wisconsin,"Chippewa Falls","750 Tropicana Blvd",0,0,0,0,0,N/A
3014310,"September 3, 2024",Washington,Kent,"26600 block of 134th Ave SE",0,0,0,1,1,N/A
3015738,"September 3, 2024","North Carolina",Fayetteville,"3000 block of Sanderosa Rd",1,0,0,0,0,N/A
3014208,"September 3, 2024",Georgia,Atlanta,"1033 Hollywood Rd NW",0,2,0,0,0,N/A
3014297,"September 3, 2024",Illinois,Chicago,"243 E Ontario St",0,1,0,0,0,N/A
3014294,"September 3, 2024",Illinois,Chicago,"356 N Cicero Ave",0,1,0,0,0,N/A
3015694,"September 3, 2024",Georgia,Pelham,"209 Mathewson Ave",0,0,0,0,1,N/A
3014735,"September 3, 2024",Utah,"Ogden (West Haven)","1747 S Prevedel Dr",3,0,1,0,0,N/A
3014263,"September 3, 2024",Indiana,Indianapolis,"329 N Denny St",0,1,0,0,0,N/A
3013904,"September 3, 2024",Wisconsin,Milwaukee,"5442 N Lovers Lane Rd",0,1,0,0,0,N/A
3014234,"September 3, 2024","North Carolina","Rocky Mount","900 Block of Hill St",0,1,0,0,0,N/A
3014194,"September 3, 2024",Indiana,Indianapolis,"I-465 and Michigan Rd",0,1,0,0,0,N/A
3014215,"September 3, 2024",Georgia,Atlanta,"2482 Martin Luther King Jr Dr SW",0,1,0,0,0,N/A
3014187,"September 3, 2024",Illinois,Chicago,"2500 block of W Fitch Ave",0,1,0,0,0,N/A
3014191,"September 3, 2024",Michigan,Detroit,"15400 block of Monte Vista St",0,2,0,0,0,N/A
3014651,"September 3, 2024",Mississippi,Meridian,"Obie Clark Dr and 8th St",1,0,0,0,0,N/A
3014154,"September 3, 2024",Indiana,Indianapolis,"4000 block of Independence Dr",1,1,0,0,0,N/A
3014134,"September 3, 2024","North Dakota","New Salem",I-94,0,0,1,0,0,N/A
3014145,"September 3, 2024","New York",Plattsburgh,"Cornelia St",1,0,0,0,1,N/A
3015469,"September 3, 2024",Indiana,"South Bend","1700 block of N Brookfield St",0,1,0,0,0,N/A
3015454,"September 3, 2024",Virginia,Richmond,"1600 block of Rosecrest Ave",0,1,0,0,0,N/A
3014277,"September 3, 2024",Minnesota,Minneapolis,"16 E 19th St",1,0,0,0,0,N/A
3014131,"September 3, 2024","New York",Rochester,"200 block of Weaver St",0,1,0,0,0,N/A
3015784,"September 3, 2024","North Carolina",Oxford,"3501 Windwood Cir",0,2,0,0,0,N/A
3014096,"September 3, 2024","New York",Brooklyn,"128 Conklin Ave",0,1,0,0,0,N/A
3014642,"September 3, 2024",California,"Los Angeles","5900 block of Bonsallo Ave",0,0,0,0,1,N/A
3014413,"September 3, 2024",Tennessee,Apison,"3550 Bentwood Cove Dr",0,0,0,0,1,N/A
3014054,"September 3, 2024",Indiana,"Fort Wayne","3000 block of Bowser Ave",0,1,0,0,0,N/A
3015379,"September 3, 2024",California,Palmdale,"410 E Palmdale Blvd",0,2,0,0,0,N/A
3015377,"September 3, 2024",California,Winnetka,"19962 Vanowen St",0,1,0,0,0,N/A
3015366,"September 3, 2024",California,Turlock,"S First St",0,1,0,0,2,N/A
3015338,"September 3, 2024",California,Hawthorne,"13920 Chadron Ave",1,0,0,0,1,N/A
3015292,"September 3, 2024",California,Modesto,"1300 block of Imperial Ave",0,1,0,0,0,N/A
3015290,"September 3, 2024",Louisiana,Alexandria,"2600 block of Overton St",1,0,0,0,0,N/A
3014011,"September 3, 2024",Michigan,Detroit,"E Arizona St and John R St",0,1,0,0,0,N/A
3013984,"September 3, 2024","North Carolina",Oxford,"NC-96 and Benton Dr",0,1,0,0,0,N/A
3013998,"September 3, 2024",California,"Los Angeles","1550 Main St",0,1,0,0,0,N/A
3016378,"September 3, 2024",Florida,Mayo,N/A,1,0,0,0,1,N/A
3013992,"September 3, 2024",Missouri,"Saint Louis","3100 block of Nebraska Ave",1,0,0,0,0,N/A
3015251,"September 3, 2024",California,"Riverside (Jurupa Valley)","2900 block of Rubidoux Blvd",1,0,0,0,0,N/A
3015229,"September 3, 2024","South Carolina",Dalzell,"Black River Rd and Edens Rd",1,1,0,0,0,N/A
3015253,"September 3, 2024","South Carolina","North Charleston","2100 block of Victory Ave",1,0,0,0,0,N/A
3013551,"September 3, 2024",Maryland,Baltimore,"1300 Russell St",1,0,0,0,0,N/A
3013951,"September 3, 2024",Michigan,"Grand Rapids","MLK Jr. St SE and Eastern Ave SE",0,1,0,0,0,N/A
3015192,"September 3, 2024",Wisconsin,Milwaukee,"N 73rd St and W Thurston Ave",0,1,0,0,0,N/A
3013926,"September 3, 2024",Michigan,Rockford,"350 N Main St",0,0,0,0,0,N/A
3014272,"September 3, 2024",Wisconsin,Milwaukee,"5450 N 64th St",0,1,0,0,0,N/A
3015070,"September 3, 2024",Nevada,"Las Vegas","500 block of E Sahara Ave",1,1,0,0,0,N/A
3013699,"September 3, 2024",Arizona,Tucson,"2201 E Speedway Blvd",0,1,0,0,0,N/A
3013690,"September 3, 2024",Arizona,Phoenix,"1217 E Mission Ln",0,1,0,0,1,N/A
3013495,"September 3, 2024",Texas,Dallas,"1600 block of W Pentagon Pkwy",0,1,0,0,0,N/A
3014882,"September 3, 2024",Arizona,Tucson,"5535 E Helen St",0,1,0,0,0,N/A
3014201,"September 3, 2024","New Mexico",Albuquerque,"2100 block of Walter St SE",1,0,0,0,0,N/A
3014203,"September 3, 2024",Georgia,Roswell,"10900 Alpharetta Hwy",0,0,1,0,0,N/A
3015513,"September 3, 2024",Pennsylvania,Philadelphia,"2800 block of N Orkney St",0,1,0,0,0,N/A
3014990,"September 3, 2024",Delaware,Wilmington,"2400 block of N Locust St",0,1,0,0,0,N/A
3014916,"September 3, 2024",Iowa,Dubuque,"605 Lincoln Ave",0,0,0,0,1,N/A
3014811,"September 3, 2024",Alabama,Tuscaloosa,"3827 Sheffield Ct",0,1,0,0,1,N/A
3014814,"September 3, 2024",Texas,"Fort Worth","South Fwy and Bellvue Dr",0,1,0,0,0,N/A
3014308,"September 3, 2024",Texas,Garland,"Glenfield Dr and Cumberland Dr",1,0,0,0,0,N/A
3014760,"September 3, 2024",Texas,Edinburg,"8200 block of E Curry Rd",1,0,0,0,0,N/A
3014747,"September 3, 2024",Colorado,"Colorado Springs","3201 E Platte Ave",0,0,1,0,0,N/A
3016117,"September 3, 2024",Indiana,Richmond,"800 block of N D St",0,1,0,0,0,N/A
3016099,"September 3, 2024",Missouri,"Kansas City","E 55th St and S Benton Ave",1,1,0,0,0,N/A
3013891,"September 3, 2024",Missouri,"Kansas City","9600 block of Dittman Way",1,1,0,0,0,N/A
3013530,"September 3, 2024",Georgia,Savannah,"700 block of W 52nd St",0,1,0,0,0,N/A
3014691,"September 3, 2024",Illinois,"Rock Falls",N/A,0,1,0,0,0,N/A
3014693,"September 3, 2024",Alabama,Dothan,"1000 block of Fountain St",0,1,0,0,1,N/A
3014918,"September 3, 2024",Alabama,Montgomery,"1614 S Decatur St",0,1,0,0,1,N/A
3014669,"September 3, 2024",Virginia,Norfolk,"3200 block of Kimball Terrace",1,0,0,0,0,N/A
3014008,"September 3, 2024",Texas,Houston,"Fondren Rd and Richmond Ave",1,0,0,0,1,N/A
3013477,"September 3, 2024",Louisiana,Alexandria,"2200 block of Paris St",0,1,0,0,0,N/A
3014274,"September 3, 2024",Illinois,Chicago,"7519 N Paulina St",0,1,0,0,0,N/A
3014607,"September 3, 2024",Alabama,Huntsville,"Max Luther Dr NW and Memorial Pkwy",1,2,0,0,1,N/A
3014639,"September 3, 2024",Illinois,Chicago,"S Parnell Ave and 112th St",0,1,0,0,0,N/A
3013462,"September 3, 2024",California,"Huntington Park","6927 Pacific Blvd",0,3,0,0,0,N/A
3014236,"September 3, 2024",Arizona,Phoenix,"N 15th St and McDowell Rd",0,2,0,0,1,N/A
3014625,"September 3, 2024",Maryland,Baltimore,"4800 block of Palmer St",0,1,0,0,0,N/A
3016017,"September 3, 2024",Oklahoma,Tulsa,"E Apache St and MLK Jr Blvd",0,0,1,1,0,N/A
3014556,"September 3, 2024",Mississippi,Meridian,"45th Ave and Hooper St",0,1,0,0,0,N/A
3014284,"September 3, 2024",Illinois,Chicago,"3450 S California Ave",0,3,0,0,0,N/A
3016005,"September 3, 2024",Ohio,Cleveland,"Somerset Ave",0,1,0,0,0,N/A
3015999,"September 3, 2024",Ohio,Cleveland,"6121 Morton Ave",0,1,0,0,0,N/A
3015990,"September 3, 2024",Ohio,Youngstown,"Brooklyn Ave and Market St",0,2,0,0,0,N/A
3014531,"September 3, 2024",Oklahoma,Tulsa,"E 27th Ct N",1,1,0,0,1,N/A
3014529,"September 3, 2024",Tennessee,Memphis,N/A,0,1,0,0,0,N/A
3014526,"September 3, 2024",Connecticut,"New Haven","Sherman Ave and Whalley Ave",0,2,0,0,0,N/A
3014502,"September 3, 2024",Connecticut,"New Haven","Edgewood Ave and Hotchkiss St",0,1,0,0,0,N/A
3015891,"September 3, 2024","Rhode Island",Cranston,"18 Harding Ave",0,0,1,0,0,N/A
3014491,"September 3, 2024",Illinois,Sterling,"E 14th St and 5th Ave",0,1,0,0,0,N/A
3014489,"September 3, 2024",Tennessee,Memphis,"2400 block of Millbrook Ave",1,0,0,0,0,N/A
3015723,"September 3, 2024",Indiana,Evansville,"Lynn Rd",0,1,0,0,1,N/A
3014442,"September 3, 2024",Tennessee,Antioch,"2200 block of Hobson Pike",0,2,0,0,0,N/A
3014438,"September 3, 2024",Pennsylvania,"Drexel Hill","601 N Lansdowne Ave",0,0,0,0,1,N/A
3014470,"September 3, 2024",Tennessee,Memphis,"6800 block of Club Ln",0,2,0,0,0,N/A
3014458,"September 3, 2024",Tennessee,Memphis,"1000 block of Salem Rd",0,1,0,0,0,N/A
3014428,"September 3, 2024",Tennessee,Nashville,"345 Dellway Villa Dr",0,1,0,0,0,N/A
3014411,"September 3, 2024",Washington,Puyallup,"8200 186th St Ct E",0,0,0,0,0,N/A
3014389,"September 3, 2024",Tennessee,Jackson,"Commanche Trail",0,1,0,0,0,N/A
3014319,"September 3, 2024",Kentucky,Lexington,"2000 block of Cambridge Dr",1,0,0,0,0,N/A
3014342,"September 3, 2024",California,"Los Angeles","S Alvarado St and W 6th St",0,1,0,0,0,N/A
3014324,"September 3, 2024",Texas,Houston,"8900 block of Richmond Ave",1,0,0,0,0,N/A
3015699,"September 2, 2024",Illinois,Joliet,"600 block of Darcy Ave",0,1,0,0,0,N/A
3014282,"September 2, 2024",Indiana,Washington,IN-257,1,0,0,0,0,N/A
3012751,"September 2, 2024",Ohio,"Cleveland (East Cleveland)","15300 block of Euclid Ave",0,3,0,0,0,N/A
3015675,"September 2, 2024",Georgia,Columbus,"4400 block of Old Cusseta Rd",0,1,0,0,0,N/A
3013238,"September 2, 2024",Florida,"Saint Petersburg","1421 22nd St S",0,2,0,0,0,N/A
3013227,"September 2, 2024",Florida,"Panama City","1 Harrison Ave",1,0,0,0,1,N/A
3013132,"September 2, 2024",Ohio,Dayton,"2050 Neff Rd",0,1,0,0,0,N/A
3013213,"September 2, 2024",Florida,Miami,"900 block of NW 150th St",0,1,0,0,1,N/A
3014245,"September 2, 2024",Indiana,Indianapolis,"8020 Madison Ave",0,1,0,0,2,N/A
3013171,"September 2, 2024",Louisiana,Natchitoches,"100 block of Melrose Ave",0,1,0,0,3,N/A
3012910,"September 2, 2024",Illinois,Chicago,"700 block of N Lavergne Ave",0,1,0,0,0,N/A
3013193,"September 2, 2024","New Mexico",Albuquerque,"4505 Villa Loma Ln NE",0,3,0,0,0,N/A
3013136,"September 2, 2024",Illinois,Chicago,"12300 block of S Emerald Ave",0,3,0,0,0,N/A
3013156,"September 2, 2024",Illinois,Chicago,"200 block of E 57th St",1,0,0,0,0,N/A
3013306,"September 2, 2024",Oregon,"Beaverton (Aloha)","1200 SW 185th Ave",0,1,0,1,2,N/A
3013141,"September 2, 2024",Florida,"Vero Beach","4016 Old Dixie Hwy",1,0,0,0,0,N/A
3013906,"September 2, 2024","North Carolina",Lumberton,"208 Lee Cir",0,1,0,0,0,N/A
3013134,"September 2, 2024",Tennessee,Memphis,"2870 Deadrick Ave",0,1,0,0,0,N/A
3013120,"September 2, 2024",Ohio,Columbus,"800 block of E 5th Ave",0,1,0,0,0,N/A
3012781,"September 2, 2024",Ohio,"Cleveland (East Cleveland)","1300 block of Elwood Road",0,1,0,0,0,N/A
3012774,"September 2, 2024",Ohio,"Cleveland (East Cleveland)","Euclid Ave and Collamer Ave",0,2,0,0,0,N/A
3014183,"September 2, 2024",Georgia,Adairsville,"Barnsley Village Dr",0,0,0,1,0,N/A
3012882,"September 2, 2024",Minnesota,Minneapolis,"13th Ave S and E Lake St",1,0,0,0,0,N/A
3013875,"September 2, 2024",Minnesota,"Saint Paul","1085 Snelling Ave N",0,3,0,0,0,N/A
3012631,"September 2, 2024",Illinois,"Forest Park","711 Desplaines Ave",4,0,0,0,1,N/A
3014164,"September 2, 2024",Minnesota,Minneapolis,"3200 block of 2nd Ave S",0,1,0,0,0,N/A
3013091,"September 2, 2024",Kentucky,Louisville,"1600 block of Moore Ct",1,0,0,0,0,N/A
3013072,"September 2, 2024",Illinois,Dekalb,"700 block of N Annie Glidden Rd",0,2,0,0,0,N/A
3014143,"September 2, 2024",Georgia,Columbus,"Roman Dr and Troy Ct",0,1,0,0,0,N/A
3014141,"September 2, 2024",Georgia,Columbus,"6200 block of Trestlewood Dr",1,0,0,0,0,N/A